timestamp,acc_x,acc_y,acc_z
26.931033167,0.0120,1.0510,0.7395
26.934293167,0.0044,1.0480,0.7522
26.935369313,-0.0049,1.0427,0.7693
26.938093011,-0.0144,1.0353,0.7893
26.939830928,-0.0237,1.0260,0.8111
26.944304678,-0.0344,1.0114,0.8335
26.944972282,-0.0462,0.9938,0.8548
26.947271136,-0.0594,0.9760,0.8775
26.949963844,-0.0757,0.9564,0.9024
26.95267874,-0.0919,0.9349,0.9264
26.955054157,-0.1070,0.9132,0.9484
26.957943011,-0.1207,0.8907,0.9677
26.961149417,-0.1324,0.8692,0.9879
26.962939886,-0.1436,0.8475,1.0067
26.96426973,-0.1549,0.8260,1.0224
26.966903376,-0.1644,0.8057,1.0397
26.970047178,-0.1717,0.7847,1.0541
26.971783896,-0.1805,0.7632,1.0656
26.974371605,-0.1893,0.7451,1.0756
26.980487698,-0.1962,0.7309,1.0839
26.981196344,-0.2028,0.7173,1.0908
26.988708896,-0.2094,0.7043,1.0947
26.989072021,-0.2157,0.6936,1.0959
26.989412073,-0.2186,0.6840,1.0940
26.989713636,-0.2196,0.6767,1.0915
26.990083896,-0.2191,0.6691,1.0871
26.992517386,-0.2172,0.6616,1.0810
27.006817594,-0.2160,0.6569,1.0751
27.007997698,-0.2152,0.6520,1.0690
27.008364053,-0.2142,0.6459,1.0615
27.008695146,-0.2133,0.6403,1.0517
27.009031553,-0.2125,0.6361,1.0414
27.00935624,-0.2123,0.6332,1.0307
27.009690042,-0.2116,0.6305,1.0172
27.012862594,-0.2094,0.6291,1.0038
27.015872021,-0.2067,0.6286,0.9899
27.016295094,-0.2047,0.6296,0.9745
27.018973792,-0.2020,0.6305,0.9572
27.021902594,-0.1979,0.6320,0.9405
27.024867959,-0.1932,0.6349,0.9222
27.026925928,-0.1871,0.6388,0.9029
27.030203011,-0.1808,0.6437,0.8829
27.032139938,-0.1771,0.6498,0.8629
27.033341136,-0.1717,0.6564,0.8453
27.036382698,-0.1649,0.6603,0.8279
27.038700355,-0.1585,0.6633,0.8123
27.041583584,-0.1524,0.6660,0.7976
27.043575771,-0.1458,0.6667,0.7861
27.046131709,-0.1370,0.6677,0.7754
27.048070042,-0.1305,0.6686,0.7637
27.051028375,-0.1236,0.6689,0.7532
27.053549209,-0.1173,0.6679,0.7441
27.055650511,-0.1141,0.6684,0.7348
27.058116032,-0.1104,0.6677,0.7256
27.060172646,-0.1072,0.6669,0.7158
27.063116813,-0.1046,0.6650,0.7058
27.065158584,-0.1019,0.6616,0.6955
27.067978219,-0.0997,0.6601,0.6852
27.070211865,-0.0985,0.6574,0.6747
27.07246025,-0.0975,0.6537,0.6633
27.074838375,-0.0965,0.6501,0.6518
27.080738219,-0.0958,0.6462,0.6405
27.081489834,-0.0953,0.6403,0.6310
27.081820303,-0.0945,0.6347,0.6205
27.084011553,-0.0943,0.6291,0.6107
27.086470042,-0.0945,0.6215,0.6015
27.089244834,-0.0948,0.6142,0.5929
27.091655146,-0.0965,0.6066,0.5848
27.10811874,-0.0987,0.5990,0.5775
27.109242646,-0.1004,0.5922,0.5712
27.109619573,-0.1036,0.5848,0.5641
27.109951657,-0.1055,0.5773,0.5577
27.11027525,-0.1065,0.5704,0.5524
27.110592334,-0.1075,0.5651,0.5475
27.110907698,-0.1092,0.5565,0.5416
27.111233115,-0.1112,0.5484,0.5372
27.113021865,-0.1124,0.5426,0.5335
27.115793844,-0.1126,0.5367,0.5311
27.120079782,-0.1121,0.5316,0.5306
27.121741605,-0.1124,0.5277,0.5299
27.122128428,-0.1116,0.5243,0.5279
27.125423219,-0.1104,0.5194,0.5240
27.127735407,-0.1090,0.5123,0.5223
27.130270355,-0.1070,0.5069,0.5208
27.133318323,-0.1055,0.5030,0.5177
27.135067125,-0.1041,0.4971,0.5152
27.137919625,-0.1019,0.4942,0.5123
27.139685928,-0.0997,0.4930,0.5086
27.142071084,-0.0972,0.4908,0.5064
27.144403896,-0.0938,0.4905,0.5018
27.146583428,-0.0892,0.4930,0.4971
27.149838896,-0.0835,0.4954,0.4942
27.151880823,-0.0762,0.4981,0.4903
27.154140719,-0.0686,0.5028,0.4854
27.156483219,-0.0606,0.5089,0.4813
27.15911723,-0.0523,0.5147,0.4781
27.161686084,-0.0454,0.5208,0.4734
27.164010459,-0.0388,0.5265,0.4678
27.166267698,-0.0332,0.5311,0.4639
27.168561292,-0.0274,0.5377,0.4607
27.171101188,-0.0217,0.5426,0.4566
27.173400667,-0.0181,0.5470,0.4522
27.175740615,-0.0134,0.5533,0.4480
27.181629053,-0.0090,0.5594,0.4441
27.182263948,-0.0049,0.5641,0.4407
27.182640511,-0.0015,0.5687,0.4388
27.184974678,0.0005,0.5739,0.4361
27.191124469,0.0015,0.5778,0.4339
27.19172624,0.0032,0.5826,0.4334
27.192067282,0.0049,0.5892,0.4336
27.213408896,0.0066,0.5949,0.4329
27.214580407,0.0078,0.6005,0.4353
27.214940146,0.0093,0.6078,0.4390
27.2153515,0.0125,0.6154,0.4412
27.215695094,0.0149,0.6220,0.4439
27.216019,0.0161,0.6288,0.4471
27.216325198,0.0178,0.6354,0.4500
27.216643115,0.0193,0.6420,0.4537
27.216961448,0.0213,0.6501,0.4573
27.21727973,0.0239,0.6576,0.4593
27.219054469,0.0239,0.6638,0.4598
27.221109261,0.0227,0.6691,0.4615
27.223428271,0.0217,0.6738,0.4634
27.225760042,0.0205,0.6789,0.4647
27.228175615,0.0181,0.6833,0.4666
27.231482073,0.0156,0.6879,0.4700
27.233893636,0.0137,0.6921,0.4739
27.234939782,0.0129,0.6940,0.4761
27.237247646,0.0122,0.6975,0.4788
27.240257698,0.0112,0.7024,0.4815
27.242691084,0.0103,0.7063,0.4839
27.244931084,0.0086,0.7109,0.4871
27.2473615,0.0066,0.7158,0.4901
27.25040624,0.0054,0.7197,0.4959
27.251595198,0.0034,0.7246,0.5025
27.254644573,0.0022,0.7297,0.5064
27.257124313,0.0010,0.7326,0.5084
27.259560198,-0.0010,0.7348,0.5108
27.261794573,-0.0027,0.7383,0.5116
27.263636709,-0.0042,0.7417,0.5123
27.266692959,-0.0059,0.7446,0.5123
27.269613011,-0.0081,0.7461,0.5101
27.271650094,-0.0081,0.7471,0.5096
27.274171084,-0.0088,0.7490,0.5094
27.276076969,-0.0110,0.7522,0.5103
27.282333532,-0.0125,0.7551,0.5118
